Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
MERCEDES-BENZ GLE 350,3.0 V6 BLUETEC DIESEL SPORT 4MATIC 9G-TRONIC,Y,2017/2017,87940 km,Campinas - SP,Concessionária,R$ 299400
AUDI A1,1.4 TFSI SPORTBACK ATTRACTION 16V 122CV GASOLINA 4P S-TRONIC,Y,2016/2017,40524 km,Campinas - SP,Concessionária,R$ 96900
AUDI RS Q8,4.0 V8 GASOLINA TWINTURBO MHEV TIPTRONIC,Y,2021/2021,9925 km,Campinas - SP,Concessionária,R$ 1190000
BMW X4,3.0 TWINPOWER GASOLINA M40I STEPTRONIC,Y,2018/2019,20000 km,Fortaleza - CE,Loja,R$ 429900
LEXUS NX 300h,2.5 16V VVT-I HYBRID LUXURY CVT AWD,Y,2019/2020,4800 km,Fortaleza - CE,Loja,R$ 279900
MERCEDES-BENZ A 200,1.3 CGI GASOLINA ADVANCE SEDAN 7G-DCT,Y,2020/2021,2100 km,Fortaleza - CE,Loja,R$ 254900
LAND ROVER RANGE ROVER SPORT,2.0 HSE HÍBRIDO 4P AUTOMÁTICO,Y,2021/2021,4300 km,Limeira - SP,Loja,R$ 635900
MERCEDES-BENZ C 180,1.6 CGI FLEX AVANTGARDE 9G-TRONIC,Y,2018/2018,24431 km,Atibaia - SP,Loja,R$ 155000
BMW 320i,2.0 SPORT 16V TURBO ACTIVE FLEX 4P AUTOMÁTICO,Y,2017/2017,52000 km,Blumenau - SC,Loja,R$ 137900
MERCEDES-BENZ GLC 250,2.0 CGI GASOLINA HIGHWAY 4MATIC 9G-TRONIC,Y,2018/2019,30829 km,Divinópolis - MG,Loja,R$ 239999
PORSCHE MACAN,2.0 16V GASOLINA 4P AUTOMÁTICO,Y,2020/2020,5000 km,Divinópolis - MG,Loja,R$ 479900
JEEP GRAND CHEROKEE,3.0 LIMITED 4X4 V6 24V TURBO DIESEL 4P AUTOMÁTICO,Y,2015/2015,81200 km,São Caetano do Sul - SP,Loja,R$ 168000
BMW 540i,3.0 24V TURBO GASOLINA M SPORT AUTOMÁTICO,Y,2019/2019,21249 km,São Paulo - SP,Loja,R$ 353660
BMW M 235i,2.0 TWINTURBO GASOLINA XDRIVE GRAN COUPE AUTOMÁTICO,Y,2020/2021,4000 km,Vinhedo - SP,Loja,R$ 359800
LAND ROVER DISCOVERY SPORT,2.2 16V SD4 TURBO DIESEL HSE 4P AUTOMÁTICO,Y,2015/2016,80000 km,Santos - SP,Loja,R$ 199900
VOLVO XC60,2.0 T8 HYBRID R-DESIGN AWD GEARTRONIC,Y,2020/2020,13500 km,São Paulo - SP,Loja,R$ 349900
MERCEDES-BENZ GLC 43 AMG,3.0 V6 GASOLINA COUPÉ 4MATIC 9G-TRONIC,Y,2018/2018,16166 km,Divinópolis - MG,Loja,R$ 399900
LAND ROVER RANGE ROVER EVOQUE,2.0 PURE TECH 4WD 16V GASOLINA 4P AUTOMÁTICO,Y,2014/2015,69000 km,Indaiatuba - SP,Loja,R$ 139990
AUDI Q3,1.4 35 TFSI GASOLINA BLACK S TRONIC,Y,2019/2020,8076 km,Maringá - PR,Concessionária,R$ 234990
JAGUAR E-PACE,2.0 16V P250 GASOLINA TURBO R-DYNAMIC SE AWD AUTOMÁTICO,Y,2019/2019,8813 km,Brasília - DF,Loja,R$ 289800
AUDI Q5,3.0 TFSI AMBITION V6 24V GASOLINA 4P AUTOMÁTICO,Y,2015/2015,60000 km,Guarulhos - SP,Loja,R$ 169900
LAND ROVER RANGE ROVER EVOQUE,2.0 DYNAMIC TECH 4WD 16V GASOLINA 4P AUTOMÁTICO,Y,2014/2015,88000 km,Vinhedo - SP,Loja,R$ 165800
MERCEDES-BENZ GLC 250,2.0 CGI GASOLINA SPORT 4MATIC 9G-TRONIC,Y,2018/2019,24400 km,Medianeira - PR,Loja,R$ 249900
MERCEDES-BENZ SLC 43 AMG,3.0 V6 GASOLINA 9G-TRONIC,Y,2016/2017,23300 km,São Caetano do Sul - SP,Loja,R$ 399780
MERCEDES-BENZ GLE 400,3.0 V6 GASOLINA COUPÉ 4MATIC 9G-TRONIC,Y,2016/2016,64000 km,São Paulo - SP,Loja,R$ 319900
LAND ROVER RANGE ROVER SPORT,3.0 HSE 4X4 V6 24V TURBO DIESEL 4P AUTOMÁTICO,Y,2015/2015,92000 km,Londrina - PR,Loja,R$ 289900
MERCEDES-BENZ GLC 250,2.0 CGI GASOLINA COUPÉ 4MATIC 9G-TRONIC,Y,2018/2019,23300 km,Juiz de Fora - MG,Loja,R$ 390900
MERCEDES-BENZ GLA 250,2.0 CGI GASOLINA SPORT 7G-DCT,Y,2018/2018,35300 km,São Caetano do Sul - SP,Loja,R$ 198000
MERCEDES-BENZ C 180,1.6 CGI GASOLINA AVANTGARDE 9G-TRONIC,Y,2018/2019,36300 km,Rio de Janeiro - RJ,Loja,R$ 172000
MERCEDES-BENZ A 250,2.0 CGI GASOLINA 7G-DCT,Y,2021/2021,3700 km,São Paulo - SP,Loja,R$ 287900
BMW X3,2.0 16V GASOLINA X LINE XDRIVE20I STEPTRONIC,Y,2018/2019,28572 km,Brasília - DF,Concessionária,R$ 266900
AUDI A4,1.8 TFSI AMBIENTE AVANT GASOLINA 4P MULTITRONIC,Y,2014/2015,29800 km,São Paulo - SP,Concessionária,R$ 114900
LAND ROVER DISCOVERY SPORT,2.0 16V TD4 TURBO DIESEL SE 4P AUTOMÁTICO,Y,2016/2016,95000 km,São José dos Campos - SP,Loja,R$ 158900
AUDI Q3,1.4 TFSI AMBIENTE FLEX 4P S TRONIC,Y,2017/2018,52509 km,Cascavel - PR,Loja,R$ 125000
PORSCHE PANAMERA,2.9 V6 E-HYBRID 4S PDK,Y,2020/2021,2904 km,Brasília - DF,Loja,R$ 1088000
AUDI Q5,2.0 TFSI GASOLINA PRESTIGE S TRONIC,Y,2020/2020,13000 km,Juiz de Fora - MG,Loja,R$ 249900
LEXUS UX 250h,2.0 VVT-I HYBRID LUXURY CVT,Y,2019/2019,14650 km,Curitiba - PR,Loja,R$ 189990
JAGUAR F-PACE,2.0 16V GASOLINA INGENIUM PRESTIGE AWD 4P AUTOMÁTICO,Y,2018/2019,28000 km,Taubaté - SP,Loja,R$ 299900
BMW M 135i,2.0 16V TURBO GASOLINA XDRIVE AUTOMÁTICO,Y,2020/2021,2600 km,Porto Alegre - RS,Concessionária,R$ 329990
AUDI Q3,1.4 35 TFSI GASOLINA BLACK S TRONIC,Y,2019/2020,8076 km,Londrina - PR,Concessionária,R$ 234990
AUDI Q3,1.4 35 TFSI GASOLINA BLACK S LINE S TRONIC,Y,2020/2021,4000 km,São Paulo - SP,Loja,R$ 279990
AUDI Q5,2.0 TFSI GASOLINA BLACK S TRONIC,Y,2020/2020,6640 km,Barretos - SP,Loja,R$ 298900
MERCEDES-BENZ E 250,2.0 CGI GASOLINA AVANTGARDE 9G-TRONIC,Y,2018/2019,38000 km,Sorocaba - SP,Concessionária,R$ 288990
MERCEDES-BENZ C 180,1.6 CGI FLEX AVANTGARDE 9G-TRONIC,Y,2018/2018,48000 km,São José - SC,Loja,R$ 149900
LAND ROVER DISCOVERY,3.0 V6 TD6 DIESEL HSE 4WD AUTOMÁTICO,Y,2019/2019,22000 km,São Paulo - SP,Loja,R$ 549990
HYUNDAI SANTA FÉ,3.3 MPFI 4X4 7 LUGARES V6 270CV GASOLINA 4P AUTOMÁTICO,Y,2017/2018,61208 km,Catanduva - SP,Loja,R$ 153900
MERCEDES-BENZ GLA 250,2.0 16V TURBO GASOLINA SPORT 4P AUTOMÁTICO,Y,2015/2015,89930 km,Florianópolis - SC,Loja,R$ 129990
BMW X4,2.0 28I X LINE 4X4 16V TURBO GASOLINA 4P AUTOMÁTICO,Y,2016/2017,47000 km,São Paulo - SP,Loja,R$ 214900
AUDI Q8,3.0 TFSI GASOLINA PERFORMANCE BLACK QUATTRO TIPTRONIC,Y,2019/2019,12177 km,Goiânia - GO,Loja,R$ 548000
LAND ROVER RANGE ROVER EVOQUE,2.2 SDA PRESTIGE 4X4 16V DIESEL 4P AUTOMÁTICO,Y,2014/2015,48796 km,Brasília - DF,Loja,R$ 175700
VOLKSWAGEN PASSAT,2.0 16V TSI BLUEMOTION GASOLINA HIGHLINE 4P DSG,Y,2017/2018,40000 km,Joinville - SC,Concessionária,R$ 145990
MERCEDES-BENZ GLA 200,1.6 CGI VISION 16V TURBO FLEX 4P AUTOMÁTICO,Y,2015/2015,98000 km,Indaiatuba - SP,Loja,R$ 124990
BMW 530i,2.0 16V TURBO GASOLINA M SPORT AUTOMÁTICO,Y,2017/2018,45188 km,Goiânia - GO,Loja,R$ 239900
AUDI A4,2.0 TFSI AMBIENTE GASOLINA 4P S TRONIC,Y,2017/2018,42158 km,Campinas - SP,Concessionária,R$ 149900
JEEP GRAND CHEROKEE,3.6 LIMITED 4X4 V6 24V GASOLINA 4P AUTOMATICO,Y,2018/2018,99200 km,Monte Azul Paulista - SP,Loja,R$ 229950
LAND ROVER RANGE ROVER EVOQUE,2.0 HSE DYNAMIC 4WD 16V GASOLINA 4P AUTOMÁTICO,Y,2018/2018,48969 km,Goiânia - GO,Loja,R$ 229900
BMW X1,2.0 16V TURBO ACTIVEFLEX SDRIVE20I 4P AUTOMÁTICO,Y,2016/2016,89000 km,Piracicaba - SP,Loja,R$ 125000
VOLKSWAGEN PASSAT,2.0 16V TSI BLUEMOTION GASOLINA HIGHLINE 4P DSG,Y,2018/2019,30812 km,Porto Alegre - RS,Concessionária,R$ 174990
KIA QUORIS,3.8 EX V6 GASOLINA 4P AUTOMÁTICO,Y,2015/2016,12500 km,Cascavel - PR,Loja,R$ 239000
MITSUBISHI OUTLANDER,2.0 MIVEC GASOLINA HPE AUTOMÁTICO,Y,2018/2019,23000 km,Joinville - SC,Concessionária,R$ 169990
BMW X6,4.4 M 4X4 COUPÉ V8 32V BI-TURBO GASOLINA 4P AUTOMÁTICO,Y,2018/2019,19000 km,São Paulo - SP,Loja,R$ 644990
BMW 218i,1.5 TWINTURBO GASOLINA GRAN COUPE SPORT GP STEPTRONIC,Y,2021/2021,1520 km,Curitiba - PR,Loja,R$ 209990
AUDI A6,3.0 55 TFSI GASOLINA PERFORMANCE QUATTRO 4P S-TRONIC,Y,2019/2020,6000 km,Bragança Paulista - SP,Loja,R$ 399900
MERCEDES-BENZ ML 350,3.0 BLUETEC V6 DIESEL 4P AUTOMÁTICO,Y,2015/2015,108392 km,Passo Fundo - RS,Concessionária,R$ 189900
BMW 328i,2.0 M SPORT 16V ACTIVEFLEX 4P AUTOMÁTICO,Y,2016/2017,75000 km,Cascavel - PR,Loja,R$ 165800
BMW X3,3.0 TWINPOWER GASOLINA M40I STEPTRONIC,Y,2018/2018,35653 km,Brasília - DF,Loja,R$ 360000
LAND ROVER RANGE ROVER SPORT,3.0 HSE 4X4 V6 24V TURBO DIESEL 4P AUTOMÁTICO,Y,2018/2018,67000 km,Florianópolis - SC,Loja,R$ 469900
LAND ROVER DISCOVERY SPORT,2.0 16V SI4 TURBO GASOLINA SE 4P AUTOMÁTICO,Y,2016/2016,53933 km,São Paulo - SP,Loja,R$ 139900
LAND ROVER RANGE ROVER EVOQUE,2.0 P250 FLEX R-DYNAMIC SE AWD AUTOMÁTICO,Y,2020/2020,13076 km,Taubaté - SP,Loja,R$ 359990
MERCEDES-BENZ A 200,1.3 CGI GASOLINA ADVANCE SEDAN 7G-DCT,Y,2019/2020,9059 km,Goiânia - GO,Loja,R$ 229900
BMW Z4,2.0 16V TURBO GASOLINA SDRIVE20I AUTOMÁTICO,Y,2015/2016,52244 km,São José dos Campos - SP,Loja,R$ 265900
MERCEDES-BENZ GLA 200,1.6 CGI STYLE 16V TURBO FLEX 4P AUTOMÁTICO,Y,2015/2015,92000 km,Indaiatuba - SP,Loja,R$ 109990
AUDI A3,1.4 TFSI FLEX SEDAN PRESTIGE PLUS TIPTRONIC,Y,2019/2019,29000 km,Criciúma - SC,Concessionária,R$ 139900
MITSUBISHI OUTLANDER,3.0 MIVEC V6 GASOLINA HPE-S AWD AUTOMÁTICO,Y,2018/2019,20000 km,São Paulo - SP,Loja,R$ 268000
MERCEDES-BENZ C 300,2.0 CGI GASOLINA SPORT 9G-TRONIC,Y,2019/2020,29000 km,Santos - SP,Concessionária,R$ 309000
MERCEDES-BENZ C 180,1.6 CGI FLEX EXCLUSIVE 9G-TRONIC,Y,2020/2020,4200 km,São José dos Campos - SP,Loja,R$ 219900
PORSCHE CAYENNE,3.6 PLATINUM EDITION 4X4 V6 24V GASOLINA 4P TIPTRONIC,Y,2017/2018,27000 km,Bragança Paulista - SP,Loja,R$ 399900
BMW X1,2.0 16V TURBO ACTIVEFLEX XDRIVE25I SPORT 4P AUTOMÁTICO,Y,2016/2016,82000 km,Blumenau - SC,Loja,R$ 161900
VOLKSWAGEN TOUAREG,3.6 FSI V6 24V GASOLINA 4P TIPTRONIC,Y,2014/2015,74178 km,Itajaí - SC,Loja,R$ 139900
VOLVO XC90,2.0 T8 HYBRID INSCRIPTION AWD GEARTRONIC,Y,2018/2019,28463 km,São Paulo - SP,Concessionária,R$ 405000
BMW X1,2.0 16V TURBO ACTIVEFLEX SDRIVE20I 4P AUTOMÁTICO,Y,2018/2019,9000 km,São Paulo - SP,Loja,R$ 188990
BMW X1,2.0 16V TURBO ACTIVEFLEX SDRIVE20I 4P AUTOMÁTICO,Y,2019/2020,12229 km,Canoas - RS,Loja,R$ 289900
BMW 320i,2.0 16V TURBO GASOLINA SPORT AUTOMÁTICO,Y,2020/2020,26122 km,Taubaté - SP,Loja,R$ 229900
PORSCHE PANAMERA,2.9 V6 E-HYBRID 4 SPORT TURISMO PDK,Y,2017/2018,22780 km,Blumenau - SC,Loja,R$ 759900
BMW X5,3.0 4X4 30D I6 TURBO DIESEL 4P AUTOMÁTICO,Y,2016/2017,66000 km,São José dos Campos - SP,Loja,R$ 279990
